"sku","contribution_margin"
Халат1белый,2567403.5700
ХалатВафЖенбелый,2013548.9300
ХалатВаф/графит,1620846.4000
ХалатВафЖенсерый,1472629.9100
Uhvm0007graf,1433836.7500
ХалатВаф/серый,1427843.5800
ХалатВафЖенбежевый,1400706.7400
ХалатВаф/темно-синий,1343766.1200
ХалатВафЖенграфит,1314459.6200
UhmTeen0001lav,1253880.3600
Uhvw0007cher,1151302.0400
Uhmw0003bel,1099776.4300
UhvM0003tsin,1037938.1100
Халат1персик,1031813.1100
Uhvw0008kap,886309.7800
UhmTeen0001sir,871339.7800
Uhmw0003kup,770450.5800
Uhmm0010graf,757001.4700
ХалатВафЖенИзумрудный,748085.5100
Халат1сиреневый,743795.5200
UhvDet0002sroz,734486.0900
Uhvw0008sir,727168.7000
ХалатВафЖенБирюза,726205.8200
Халат1kup,678129.3000
Халат1бордо,658145.1100
Uhvw0008milk,643112.4900
Uhvm0002graf,631547.7000
UhmW0001kup,611932.3400
UhvDet0002sin,603496.6500
UhmTeen0001bezh,591155.7600
Халат1серый,587125.7000
Uhmw0003izu,586823.3700
UhmTeen0001ser2,576915.6000
Uhmw0003maslo,570405.8500
Uhvw0007ser,568841.9900
Uhvm0007sin,567409.6800
Uhmw0003sir,558618.7500
UhvM0003graf,500384.8800
UhvW0003mint,500200.6800
Халат1изумрудный,490062.5300
ХалатВафЖенфиолетовый,452838.7600
Халат1беж,450745.7300
Uhvw0008ser,434403.0300
Uhmw0003ser,431532.0100
Uhvw0004ser-kor,424109.1900
Uhmm0010tsin,413006.6200
Uhvw0007bezh,409335.4900
UhmTeen0001ser,390008.6400
UhvW0003bakl,374450.9500
UhmW0008mol/roz,357673.5300
Uhmm0010tzel,354315.0700
UhmTeen0001maslo,339895.6300
UhmM0009tsin,333444.1400
Uhvw0007gol,330795.3400
Uhmw006pbir,324188.2200
UhmW0014lat,323935.7900
ХалатВаф/изумруд,320676.7900
UhmDet0001mol/roz,315482.7300
Uhvw0001graf,308207.7800
Uhmw006proz,304379.1600
Uhmw0003beig,296858.9600
Uhvw0004mint,294289.5200
UhmW0001pbor,283605.4900
Uhvw0013mol-graf,262972.3400
UhmM0009graf,240599.3600
UhmW0001ser,239193.0700
UhmW0014bel,226487.7600
Uhmw006tsin,217229.6000
UhmW0015graf,213315.5200
UhmTeen0001sir2,207762.2300
Uhvw0015bezh,185236.0200
Uhvw0012bel-zel,175540.7600
UhvDet0002mint,172515.2000
Uhvw0015tser,168769.4100
UhvW0003bel,167814.1800
Uhvm0007ser-kor,164445.5000
ХалатВафЖенчерный,162793.6800
UhmW0011sir,158401.5700
UhmW0015maslo,157365.8400
UhmW0011lav,157169.1500
UhvTeen0001pgol,153156.4800
UhvTeen0001sir,151501.7800
UhvTeen0001milk,137875.2100
Uhvm0002sin,135986.5300
Uhvw0015bel,114137.9400
UhmDet0001mol/gol,112986.9000
UhmW0011ser,106479.5400
UhmW0015kup,106245.6800
UhvDet0003bel-ser,104130.5900
UhvTeen0001sin,93301.2900
UhmW0012mol/gol,81946.6500
UhmW0008mol/gol,78507.9800
Uhvw0014mol-graf,76658.5600
UhvTeen0001ser,66388.4500
Uhvw0001bel,52299.4500
UhmW0015proz,42559.2400
Uhmm0010zelcamouf,32280.3400
UhmW0015bel,25119.4400
